ticker,name,exchange,board,security_type,industry_l1,industry_l2,listed_trading_days,adv20_amount_cny,total_equity,has_latest_financials,has_standard_unqualified_audit,is_st,is_delisting,is_suspended,roe_ttm,gross_margin_stability_12q,asset_turnover_delta,cfo_to_net_profit_ttm,fcf_ttm_margin,net_debt_to_ebitda,receivable_inventory_anomaly,revenue_yoy_acceleration,profit_yoy_acceleration,operating_margin_delta,industry_regime_strength,pe_pctile_in_industry,pb_pctile_in_industry,ev_ebitda_pctile_in_industry,rs_60d,ma_structure,turnover_support,risk_goodwill_high,risk_equity_pledge_high,risk_regulatory_probe,risk_major_reduction,risk_material_negative_announcement
600519,贵州茅台,SSE,main,common_stock,食品饮料,白酒,5000,5000000000.0,120000000000.0,true,true,false,false,false,0.321,0.92,0.03,1.15,0.283,-0.5,0.12,0.08,0.12,0.02,0.75,0.35,0.4,0.38,0.72,0.8,0.65,false,false,false,true,false
000858,五粮液,SZSE,main,common_stock,食品饮料,白酒,4500,3000000000.0,80000000000.0,true,true,false,false,false,0.265,0.88,0.02,1.05,0.22,-0.3,0.15,0.06,0.09,0.015,0.7,0.28,0.35,0.3,0.65,0.75,0.6,false,false,false,false,false
601318,中国平安,SSE,main,common_stock,非银金融,保险,4200,4000000000.0,600000000000.0,true,true,false,false,false,0.145,0.7,0.01,0.9,0.15,1.2,0.08,0.04,0.06,0.01,0.55,0.22,0.18,0.2,0.58,0.62,0.7,true,false,false,false,false
300750,宁德时代,SZSE,chinext,common_stock,电力设备,电池,1800,8000000000.0,200000000000.0,true,true,false,false,false,0.22,0.78,0.05,1.3,0.18,0.8,0.25,0.15,0.2,0.03,0.85,0.55,0.6,0.5,0.8,0.85,0.75,false,false,false,false,false
600036,招商银行,SSE,main,common_stock,银行,股份制银行,5500,2500000000.0,400000000000.0,true,true,false,false,false,0.168,0.85,0.01,0.95,0.12,2.0,0.05,0.03,0.05,0.005,0.5,0.3,0.25,0.28,0.55,0.58,0.62,false,false,false,false,false
000333,美的集团,SZSE,main,common_stock,家用电器,白色家电,3000,3500000000.0,180000000000.0,true,true,false,false,false,0.25,0.82,0.04,1.1,0.2,0.5,0.18,0.1,0.14,0.025,0.65,0.32,0.38,0.35,0.68,0.72,0.68,false,false,false,false,false
002594,比亚迪,SZSE,main,common_stock,汽车,整车,3500,6000000000.0,350000000000.0,true,true,false,false,false,0.19,0.75,0.06,1.25,0.16,1.5,0.22,0.25,0.3,0.04,0.9,0.65,0.7,0.6,0.85,0.88,0.8,false,true,false,false,false
601888,中国中免,SSE,main,common_stock,社会服务,旅游,2800,2000000000.0,90000000000.0,true,true,false,false,false,0.18,0.68,-0.02,0.85,0.1,0.3,0.3,-0.05,-0.08,-0.03,0.35,0.7,0.65,0.68,0.35,0.3,0.45,false,false,false,true,false
002714,牧原股份,SZSE,main,common_stock,农林牧渔,畜禽养殖,2500,2800000000.0,150000000000.0,true,true,false,false,false,0.28,0.55,0.08,0.7,0.05,3.5,0.1,0.35,0.5,0.08,0.8,0.25,0.3,0.22,0.78,0.82,0.72,false,false,false,false,false
603288,海天味业,SSE,main,common_stock,食品饮料,调味品,2200,1500000000.0,60000000000.0,true,true,false,false,false,0.23,0.9,0.01,1.2,0.25,-1.0,0.08,0.02,0.03,0.005,0.45,0.75,0.8,0.72,0.4,0.42,0.5,false,false,false,false,false
600887,伊利股份,SSE,main,common_stock,食品饮料,乳制品,4000,2200000000.0,70000000000.0,true,true,false,false,false,0.2,0.8,0.02,1.0,0.18,0.2,0.15,0.05,0.07,0.01,0.6,,,,0.55,0.6,0.58,false,false,false,false,false
002415,海康威视,SZSE,main,common_stock,电子,安防,3800,3200000000.0,250000000000.0,true,true,false,false,false,0.21,0.85,0.03,0.92,0.14,0.6,0.28,0.07,0.1,0.02,0.55,0.4,0.45,0.42,,,,true,false,false,false,false
600900,长江电力,SSE,main,common_stock,公用事业,水电,5200,1800000000.0,300000000000.0,true,true,false,false,false,,0.95,0.0,,0.3,2.5,0.03,0.01,0.02,0.0,0.4,0.5,0.55,0.48,0.5,0.48,0.55,false,false,false,false,false
600978,*ST宜生,SSE,main,common_stock,医药生物,中药,3000,50000000.0,2000000000.0,false,false,true,false,false,-0.15,0.3,-0.05,-0.5,-0.1,8.0,0.8,-0.3,-0.5,-0.1,0.1,0.95,0.9,0.92,0.1,0.08,0.15,true,true,true,false,true
600985,某低流动性股,SSE,main,common_stock,机械设备,仪器仪表,1500,20000000.0,5000000000.0,true,true,false,false,false,0.08,0.6,0.01,0.8,0.06,1.0,0.2,0.02,0.03,0.005,0.3,0.6,0.55,0.58,0.25,0.2,0.18,false,false,false,false,false
301505,某次新股,SZSE,chinext,common_stock,计算机,软件,30,500000000.0,10000000000.0,true,true,false,false,false,0.15,0.7,0.05,0.9,0.12,0.3,0.1,0.2,0.25,0.03,0.7,0.8,0.85,0.78,0.9,0.92,0.85,false,false,false,false,false
